cod_mun_ibge_7;cod_mun_ibge_6;municipio;UF;ano;populacao;tipo
1100015;110001;Alta Floresta D'Oeste;RO;2001;26919;Original
1100015;110001;Alta Floresta D'Oeste;RO;2002;27237;Original
1100015;110001;Alta Floresta D'Oeste;RO;2003;27563;Original
1100015;110001;Alta Floresta D'Oeste;RO;2004;29001;Original
1100015;110001;Alta Floresta D'Oeste;RO;2005;28629;Original
1100015;110001;Alta Floresta D'Oeste;RO;2006;29005;Original
1100015;110001;Alta Floresta D'Oeste;RO;2007;26998;Estimativa (Spline)
1100015;110001;Alta Floresta D'Oeste;RO;2008;24577;Original
1100015;110001;Alta Floresta D'Oeste;RO;2009;24354;Original
1100015;110001;Alta Floresta D'Oeste;RO;2010;24507;Estimativa (Spline)
1100015;110001;Alta Floresta D'Oeste;RO;2011;24228;Original
1100015;110001;Alta Floresta D'Oeste;RO;2012;24069;Original
1100015;110001;Alta Floresta D'Oeste;RO;2013;25728;Original
1100015;110001;Alta Floresta D'Oeste;RO;2014;25652;Original
1100015;110001;Alta Floresta D'Oeste;RO;2015;25578;Original
1100015;110001;Alta Floresta D'Oeste;RO;2016;25506;Original
1100015;110001;Alta Floresta D'Oeste;RO;2017;25437;Original
1100015;110001;Alta Floresta D'Oeste;RO;2018;23167;Original
1100015;110001;Alta Floresta D'Oeste;RO;2019;22945;Original
1100015;110001;Alta Floresta D'Oeste;RO;2020;22728;Original
1100015;110001;Alta Floresta D'Oeste;RO;2021;22516;Original
1100015;110001;Alta Floresta D'Oeste;RO;2022;22504;Estimativa (Spline)
1100015;110001;Alta Floresta D'Oeste;RO;2023;22635;Estimativa (Spline)
1100015;110001;Alta Floresta D'Oeste;RO;2024;22853;Original
1100015;110001;Alta Floresta D'Oeste;RO;2025;23099;Estimativa (Spline)
1100023;110002;Ariquemes;RO;2001;76371;Original
1100023;110002;Ariquemes;RO;2002;78039;Original
1100023;110002;Ariquemes;RO;2003;79680;Original
1100023;110002;Ariquemes;RO;2004;86901;Original
1100023;110002;Ariquemes;RO;2005;85031;Original
1100023;110002;Ariquemes;RO;2006;86924;Original
1100023;110002;Ariquemes;RO;2007;86413;Estimativa (Spline)
1100023;110002;Ariquemes;RO;2008;84581;Original
1100023;110002;Ariquemes;RO;2009;85541;Original
1100023;110002;Ariquemes;RO;2010;89139;Estimativa (Spline)
1100023;110002;Ariquemes;RO;2011;91570;Original
1100023;110002;Ariquemes;RO;2012;92747;Original
1100023;110002;Ariquemes;RO;2013;101269;Original
1100023;110002;Ariquemes;RO;2014;102860;Original
1100023;110002;Ariquemes;RO;2015;104401;Original
1100023;110002;Ariquemes;RO;2016;105896;Original
1100023;110002;Ariquemes;RO;2017;107345;Original
1100023;110002;Ariquemes;RO;2018;106168;Original
1100023;110002;Ariquemes;RO;2019;107863;Original
1100023;110002;Ariquemes;RO;2020;109523;Original
1100023;110002;Ariquemes;RO;2021;111148;Original
1100023;110002;Ariquemes;RO;2022;112234;Estimativa (Spline)
1100023;110002;Ariquemes;RO;2023;111728;Estimativa (Spline)
1100023;110002;Ariquemes;RO;2024;108573;Original
1100023;110002;Ariquemes;RO;2025;101714;Estimativa (Spline)
1100031;110003;Cabixi;RO;2001;7501;Original
1100031;110003;Cabixi;RO;2002;7490;Original
1100031;110003;Cabixi;RO;2003;7478;Original
1100031;110003;Cabixi;RO;2004;7421;Original
1100031;110003;Cabixi;RO;2005;7436;Original
1100031;110003;Cabixi;RO;2006;7421;Original
1100031;110003;Cabixi;RO;2007;7104;Estimativa (Spline)
1100031;110003;Cabixi;RO;2008;6777;Original
1100031;110003;Cabixi;RO;2009;6695;Original
1100031;110003;Cabixi;RO;2010;6500;Estimativa (Spline)
1100031;110003;Cabixi;RO;2011;6221;Original
1100031;110003;Cabixi;RO;2012;6132;Original
1100031;110003;Cabixi;RO;2013;6495;Original
1100031;110003;Cabixi;RO;2014;6424;Original
1100031;110003;Cabixi;RO;2015;6355;Original
1100031;110003;Cabixi;RO;2016;6289;Original
1100031;110003;Cabixi;RO;2017;6224;Original
1100031;110003;Cabixi;RO;2018;5438;Original
1100031;110003;Cabixi;RO;2019;5312;Original
1100031;110003;Cabixi;RO;2020;5188;Original
1100031;110003;Cabixi;RO;2021;5067;Original
1100031;110003;Cabixi;RO;2022;5072;Estimativa (Spline)
1100031;110003;Cabixi;RO;2023;5260;Estimativa (Spline)
1100031;110003;Cabixi;RO;2024;5690;Original
1100031;110003;Cabixi;RO;2025;6417;Estimativa (Spline)
1100049;110004;Cacoal;RO;2001;73996;Original
1100049;110004;Cacoal;RO;2002;74381;Original
1100049;110004;Cacoal;RO;2003;74758;Original
1100049;110004;Cacoal;RO;2004;76417;Original
1100049;110004;Cacoal;RO;2005;75988;Original
1100049;110004;Cacoal;RO;2006;76422;Original
1100049;110004;Cacoal;RO;2007;77436;Estimativa (Spline)
1100049;110004;Cacoal;RO;2008;78263;Original
1100049;110004;Cacoal;RO;2009;78675;Original
1100049;110004;Cacoal;RO;2010;79208;Estimativa (Spline)
